title,category,dist,lat,lng,rating,reviewsCount,price
أسواق ثمرات الجنتين,Supermarket,"RQ85+RX Al Munsiyah, Riyadh Saudi Arabia",24.8170798,46.7599227,3.6,197,
Meed Store,Convenience store,,24.7882483,46.7384036,3.9,81,
Alsultan mart,Supermarket,"RQ85+J7 Al Munsiyah, Riyadh Saudi Arabia",24.8165458,46.7581853,4,253,
Nespresso,Coffee vending machine,,24.7573198,46.6301343,4.2,351,
Wadi square,Shopping mall,"QPQ2+RG Al Wadi, Riyadh Saudi Arabia",24.7895622,46.7013298,4.5,4,
مستشفى الرياض,Hospital,"RQ92+4X Qurtubah, Riyadh Saudi Arabia",24.8177792,46.7524716,2.4,16,
Rocca supermarket روكا سوبرماركت,Supermarket,"RPGX+4R Al Munsiyah, Riyadh Saudi Arabia",24.8252699,46.7496165,3.9,75,
قريه الدحيه صهبان,Convenience store,"RQ73+9R Qurtubah, Riyadh Saudi Arabia",24.8134668,46.7547035,,0,
Abdullah Alothaim Markets,Supermarket,,24.8214375,46.7421875,3.8,215,
SASCO Palm,Convenience store,"RPMP+V5 King Khalid International Airport, Riyadh Saudi Arabia",24.8346511,46.735476,4,335,
أسواق ومخابز الغدق للمواد الغذائية,Supermarket,"RP9J+Q3 Qurtubah, Riyadh Saudi Arabia",24.8194176,46.7301715,4,153,
كيان | KYAN,Cafe,,24.8284375,46.7849375,4.8,4,
NESPRESSO,Coffee vending machine,"QP87+VV Al Mughrizat, Riyadh Saudi Arabia",24.767221,46.714705,4.2,828,
سلة البساتين للتموين الغذائي,Supermarket,"RQ92+6V Qurtubah, Riyadh Saudi Arabia",24.8180877,46.7522076,3.7,228,
أسواق و مخابز ثمار جناين,Supermarket,"RPGX+R3 Qurtubah, Riyadh Saudi Arabia",24.8271353,46.7477341,4.1,686,
مانويل ماركت,Supermarket,,24.829196,46.7269666,5,2,
Riyadh Airport Marriott Hotel,,"WPF7+Q5 King Khalid International Airport, Riyadh Saudi Arabia",24.9244498,46.7129794,4.1,3736,
Panda,Supermarket,"RP7G+Q4 Qurtubah, Riyadh Saudi Arabia",24.814453,46.7253591,3.9,1192,
تموينات زاد قرطبة,Supermarket,"RP5W+3H Al Yarmuk, Riyadh Saudi Arabia",24.8076799,46.7464386,4,36,
Marriott Riyadh Diplomatic Quarter,,"MJFF+P9 Al Safarat, Riyadh Saudi Arabia",24.6743027,46.6234758,4.4,1138,
اسواق نظرة الغذاء,Supermarket,"RP5W+Q4 Qurtubah, Riyadh Saudi Arabia",24.8094469,46.7453288,4.4,8,
"InterContinental Riyadh, an IHG Hotel",,"MM8R+MV Al Mutamarat, Riyadh Saudi Arabia",24.666677,46.692159,4.3,6987,
Farm 58 Superstores,Supermarket,"RPJV+XV Qurtubah, Riyadh Saudi Arabia",24.8324103,46.7446931,3.7,1237,
Courtyard by Marriott Riyadh Olaya,,"PM2H+VF Al Olaya, Riyadh Saudi Arabia",24.7020732,46.6786889,4.3,1982,
CHORISIA,Cafe,"MJ8J+55 Al Hada, Riyadh Saudi Arabia",24.6654042,46.6303935,3.4,17,
Aloft Riyadh,,"MMHV+Q3 Al Olaya, Riyadh Saudi Arabia",24.6794569,46.6926614,4.1,2433,
Panda Super market Qurtubah,Supermarket,,24.8139046,46.7246587,1,1,
al’s gourmet,Restaurant,"RP58+6M Qurtubah, Riyadh Saudi Arabia",24.8080629,46.7167101,4.1,94,
VOGUE Cafe,Restaurant,"QJ4J+98 Al Aqiq, Riyadh Saudi Arabia",24.7559204,46.6307637,3.7,1096,
تموينات المعمور - توصيل,Grocery store,"RP5X+CG Qurtubah, Riyadh Saudi Arabia",24.8085995,46.7487915,3.9,61,
تموينات نسائم قرطبة للمواد الغذائية,Supermarket,"RP3V+W9 Qurtubah, Riyadh Saudi Arabia",24.8048768,46.7435674,4.3,53,
Nespresso,Cafe,"XMFV+HX King Khalid International Airport, Riyadh Saudi Arabia",24.9738921,46.6949244,5,2,
قطوف وحلا,Candy store,"RP3Q+H5 Qurtubah, Riyadh Saudi Arabia",24.8039187,46.7379164,4,450,
Riyadh Diplomatic Quarter - Marriott Executive Apartments,,"MJFF+P9 Al Safarat, Riyadh Saudi Arabia",24.6743027,46.6234758,4.6,40,
DoubleTree by Hilton Hotel Riyadh - Al Muroj Business Gate,,"QM74+RV Al Muruj, Riyadh Saudi Arabia",24.7645924,46.6572046,4.1,4395,
Al Faisaliah Hotel,,"MMRM+4J Al Olaya, Riyadh Saudi Arabia",24.6903668,46.6841129,4.4,3273,
Canton,Restaurant,"QR3F+QH An Nahdah, Riyadh Saudi Arabia",24.7544417,46.8239289,3,112,$$
محمصة الرفاعي,Nut store,"RP4P+WW Qurtubah, Riyadh Saudi Arabia",24.8073166,46.7372793,4,81,
Canton,Chinese restaurant,,24.8583088,46.6466146,2.7,71,$$
BAJA,Supermarket,,24.8110748,46.7342693,4.7,7,
Eric Kayser,Restaurant,"RPRM+QG King Khalid International Airport, Riyadh Saudi Arabia",24.8419932,46.7337687,4.6,1840,
Spice Indian Cuisine (Wadi Laban),Indian restaurant,"JHF3+J5 Dhahrat Laban, Riyadh Saudi Arabia",24.6241236,46.5528631,3.1,686,$$
Aswar Hotel Suites,,"QPWH+CH Qurtubah, Riyadh Saudi Arabia",24.7960773,46.728905,4.1,489,
LPM Restaurant & Café,French restaurant,"MMRM+7M Al Olaya, Riyadh Saudi Arabia",24.6907457,46.6841345,3.2,673,
