dist,rent_3_rooms_ave
اشبيلية,21227
الازدهار,30016
الاسكان,17400
الاندلس,25009
البديعه,15826
التعاون,32264
الجرادية,12296
الجزيرة,22102
الجنادرية,15218
الحزم,14938
الحمراء,24839
الخالدية,15375
الخزامى,29071
الخليج,18773
الدار البيضاء,13715
الدريهمية,19050
الرائد,40000
الربوة,26153
الربيع,34332
الرحمانية,35437
الروابي,27150
الرمال,17699
الروضة,27454
الريان,29017
الزهراء,24228
الزهرة,16223
السعادة,18793
السلام,23093
السلي,16875
السليمانية,31980
السويدي,15018
السويدي الغربي,17010
الشرق,15382
الشفا,14135
الشميسي,13555
الشهداء,28877
الصحافة,31435
الصفا,16600
الضباط,26452
العارض,27621
العريجاء,17350
العريجاء الغربية ,15798
العريجاء الوسطى,15197
العزيزية,15349
العقيق,29100
العليا,35681
العمل,20500
العود,13611
الغدير,34000
الفلاح,30320
الفوطة,19000
الفيحاء,21532
القادسية,19175
القدس,29137
القيروان,33264
المحمدية,32916
المربع,28311
المرسلات,28171
المروة,16250
المروج,28741
المصيف,25493
المعيزلة,19050
المغرزات,28488
الملز,23311
الملقا,34899
الملك عبدالعزيز,22733
الملك فهد,27553
الملك عبدالله,34600
الملك فيصل,20835
المنار,24188
المنصورة,17272
المهدية,19571
التونسية,20851
النخيل,34907
الندى,35769
النرجس,31327
النزهة,31147
النسيم الشرقي ,16709
النسيم الغربي,15173
 النظيم,15072
النفل,26833
النهضة,18466
الواحة,38000
الوادي,30578
الورود,28932
الوزارات,20911
الياسمين,33569
اليرموك,21370
اليمامة,12550
ام الحمام الشرقي,19312
ام الحمام الغربي,21684
ام سليم,14863
احد,13100
بدر,14000
ثليم,12000
جرير,21973
حطين,33288
ديراب,13748
سلطانة,12936
شبرا,19864
صلاح الدين,28571
طويق,14854
ظهرة البديعة,17775
ظهرة لبن,18801
ظهرة نمار,16064
عتيقة,11250
عرقة,29258
عكاظ,14797
غبيرة,12187
غرناطة,23433
قرطبة,27147
لبن,21964
مطار الملك خالد الدولي,17600
منفوحة,13166
منفوحة الجديدة,11076
نمار,17714
