Title,Image,a4gq8eavtxabhaaclfjrmmhfhsrgpd_URL,rating,num_ratings,category,dist,Content2,Title1,Image1,a4gq8eavtxabhaaclfjrmmhfhsrgpd_URL1,mw4etd1,uy71,Content3,zy2y6brwgcyc__divcontains_class_zy2y6brwgcyc,Conten1
فوغ الجمال للتزين,https://lh5.googleusercontent.com/p/AF1QipPWBc_t_W2Jk1gg6Tx3gjq_h_eopnKtDgaLmYW_=w149-h92-k-no,https://www.google.com/maps/place/%D9%81%D9%88%D8%BA+%D8%A7%D9%84%D8%AC%D9%85%D8%A7%D9%84+%D9%84%D9%84%D8%AA%D8%B2%D9%8A%D9%86%E2%80%AD/data=!4m5!3m4!1s0x3e2efc33d7821771:0x5ea1a773faeece00!8m2!3d24.8083774!4d46.7352139?authuser=0&hl=ar&rclk=1,3.8,-158,صالون حلاقة,,مفتوح حتى ٩:٠٠ م,,,,,,,,
Glamour l’azurde saloon ladies,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,https://www.google.com/maps/place/Glamour+l%E2%80%99azurde+saloon+ladies/data=!4m5!3m4!1s0x3e2efff026396709:0xfd615300edfa171d!8m2!3d24.8151367!4d46.7538452?authuser=0&hl=ar&rclk=1,1.0,-1,صالون تجميل,"RQ83+4C Qurtubah, Riyadh Saudi Arabia",,,,,,,,,
حلاق عادل,https://lh5.googleusercontent.com/p/AF1QipN2iviF_YfnZW7ozBUvo_Rt4pYABX0Ts8_Yshwy=w80-h106-k-no,https://www.google.com/maps/place/%D8%AD%D9%84%D8%A7%D9%82+%D8%B9%D8%A7%D8%AF%D9%84%E2%80%AD/data=!4m5!3m4!1s0x3e2efd19c37275df:0xf27657896408c92a!8m2!3d24.8033189!4d46.7430474?authuser=0&hl=ar&rclk=1,5.0,-2,صالون حلاقة,6353 شديق، قرطبة، الرياض 13245 3146،,مفتوح حتى ١١:٣٠ م,,,,,,,,
حلاق المشط الذهبي ,,,,,صالون حلاقة," شارع عبد الله بن مرخان، حي قرطبة، Qurtubah, Riyadh 13245",,,,,,,,,
حلاق مغربي ,,,,,صالون حلاقة,"Radwa, Qurtubah, Riyadh 13245",,,,,,,,,
مركز نجلاء الحزيمي للتزيين النسائي,https://lh5.googleusercontent.com/p/AF1QipO3tF_yd4fFtaVlrgaoEmWOILlewY1d2D2gu7Nc=w80-h106-k-no,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D9%86%D8%AC%D9%84%D8%A7%D8%A1+%D8%A7%D9%84%D8%AD%D8%B2%D9%8A%D9%85%D9%8A+%D9%84%D9%84%D8%AA%D8%B2%D9%8A%D9%8A%D9%86+%D8%A7%D9%84%D9%86%D8%B3%D8%A7%D8%A6%D9%8A%E2%80%AD/data=!4m5!3m4!1s0x3e2eff1dc0a920bb:0xfece1a5e48c42115!8m2!3d24.8140872!4d46.7543773?authuser=0&hl=ar&rclk=1,4.2,-62,صالون تجميل,طريق الشيخ حسن بن حسين بن علي,مفتوح حتى ١٠:٠٠ م,,,,,,,,
حلاق ذوق للحلاقة,https://lh5.googleusercontent.com/p/AF1QipPGW6do9O5kAXCEOqB0Pi1jni0CvFyCvlFdiXjk=w163-h92-k-no,https://www.google.com/maps/place/%D8%AD%D9%84%D8%A7%D9%82+%D8%B0%D9%88%D9%82+%D9%84%D9%84%D8%AD%D9%84%D8%A7%D9%82%D8%A9%E2%80%AD/data=!4m5!3m4!1s0x3e2efe83678f772b:0xd0334b23d3f90061!8m2!3d24.8179278!4d46.7524062?authuser=0&hl=ar&rclk=1,3.7,-41,صالون حلاقة,8018-8046 طريق الشيخ حسن بن حسين بن علي,مفتوح حتى ١١:٤٥ م,,,,,,,,
حلاق أناقة البراعم - فرع بارك افنيوا,https://lh5.googleusercontent.com/p/AF1QipNJFkYggGpB81viTu8iRm4bQvhn9JhoyN8b0_IN=w122-h92-k-no,https://www.google.com/maps/place/%D8%AD%D9%84%D8%A7%D9%82+%D8%A3%D9%86%D8%A7%D9%82%D8%A9+%D8%A7%D9%84%D8%A8%D8%B1%D8%A7%D8%B9%D9%85+-+%D9%81%D8%B1%D8%B9+%D8%A8%D8%A7%D8%B1%D9%83+%D8%A7%D9%81%D9%86%D9%8A%D9%88%D8%A7%E2%80%AD/data=!4m5!3m4!1s0x3e2efd7fcd7b649b:0x3b6f8239b9338969!8m2!3d24.8289566!4d46.7275286?authuser=0&hl=ar&rclk=1,,,صالون حلاقة,بإتجاه الشرق، طريق الثمامة,,,,,,,,,
Turkish Barber,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,https://www.google.com/maps/place/Turkish+Barber/data=!4m5!3m4!1s0x3e2efd23d1447865:0x726cf1a3c4ef5f22!8m2!3d24.8206607!4d46.7410504?authuser=0&hl=ar&rclk=1,3.0,-2,صالون حلاقة,طريق الأمير محمد بن سلمان بن عبدالعزيز,,,,,,,,,
حلاق نبض اليسر للحلاقة,,,,,صالون حلاقة,"شارع البيت العتيق، حي قرطبة، Qurtubah, Riyadh 13244",,,,,,,,,
